"filename", "language", "JSON", "JavaScript", "comment", "blank", "total"
"c:\CodeX\QRcodeApp\BackEnd\app.js", "JavaScript", 0, 29, 7, 6, 42
"c:\CodeX\QRcodeApp\BackEnd\controllers\batchController.js", "JavaScript", 0, 14, 0, 2, 16
"c:\CodeX\QRcodeApp\BackEnd\controllers\hostAuth.js", "JavaScript", 0, 46, 3, 8, 57
"c:\CodeX\QRcodeApp\BackEnd\controllers\sessionController.js", "JavaScript", 0, 34, 0, 6, 40
"c:\CodeX\QRcodeApp\BackEnd\controllers\userAuth.js", "JavaScript", 0, 71, 13, 10, 94
"c:\CodeX\QRcodeApp\BackEnd\middlewares\middleware.js", "JavaScript", 0, 23, 0, 3, 26
"c:\CodeX\QRcodeApp\BackEnd\models\batch.js", "JavaScript", 0, 42, 1, 3, 46
"c:\CodeX\QRcodeApp\BackEnd\models\host.js", "JavaScript", 0, 47, 2, 5, 54
"c:\CodeX\QRcodeApp\BackEnd\models\session.js", "JavaScript", 0, 31, 0, 4, 35
"c:\CodeX\QRcodeApp\BackEnd\models\user.js", "JavaScript", 0, 97, 3, 5, 105
"c:\CodeX\QRcodeApp\BackEnd\package-lock.json", "JSON", 630, 0, 0, 1, 631
"c:\CodeX\QRcodeApp\BackEnd\package.json", "JSON", 21, 0, 0, 1, 22
"c:\CodeX\QRcodeApp\BackEnd\routes\batchRoute.js", "JavaScript", 0, 20, 0, 4, 24
"c:\CodeX\QRcodeApp\BackEnd\routes\hostAuth.js", "JavaScript", 0, 30, 0, 3, 33
"c:\CodeX\QRcodeApp\BackEnd\routes\userAuth.js", "JavaScript", 0, 29, 6, 3, 38
"Total", "-", 651, 513, 35, 64, 1263